Region;Tissue;Lectin;File;Threshold;H_Score;Total_Pos_Pct;Weak_Pct;Mod_Pct;Strong_Pct;Mean_OD
ALSANCAK;GENEL DOKU;SNA;Image_34898.jpg;0,22;27,47;26,73;26,14;0,45;0,14;0,2606
ALSANCAK;GENEL DOKU;SNA;Image_34898.jpg;0,28;5,79;5,06;4,46;0,45;0,14;0,3351
ALSANCAK;GENEL DOKU;SNA;Image_34898.jpg;0,3;3,46;2,73;2,14;0,45;0,14;0,3743
ALSANCAK;GENEL DOKU;SNA;Image_34906.jpg;0,22;14,8;14,02;13,39;0,5;0,14;0,2696
ALSANCAK;GENEL DOKU;SNA;Image_34906.jpg;0,28;3,83;3,06;2,42;0,5;0,14;0,3649
ALSANCAK;GENEL DOKU;SNA;Image_34906.jpg;0,3;2,63;1,86;1,22;0,5;0,14;0,414
ALSANCAK;GENEL DOKU;SNA;Image_34899.jpg;0,22;24,92;23,94;23,11;0,69;0,14;0,2636
ALSANCAK;GENEL DOKU;SNA;Image_34899.jpg;0,28;5,81;4,83;4,0;0,69;0,14;0,3426
ALSANCAK;GENEL DOKU;SNA;Image_34899.jpg;0,3;3,75;2,77;1,94;0,69;0,14;0,3824
ALSANCAK;GENEL DOKU;SNA;Image_34904.jpg;0,22;24,65;23,95;23,39;0,42;0,14;0,2587
ALSANCAK;GENEL DOKU;SNA;Image_34904.jpg;0,28;4,25;3,55;2,99;0,42;0,14;0,3493
ALSANCAK;GENEL DOKU;SNA;Image_34904.jpg;0,3;2,52;1,81;1,25;0,42;0,14;0,4073
ALSANCAK;GENEL DOKU;SNA;Image_34905.jpg;0,22;10,7;10,03;9,5;0,39;0,14;0,2741
ALSANCAK;GENEL DOKU;SNA;Image_34905.jpg;0,28;2,9;2,23;1,7;0,39;0,14;0,3858
ALSANCAK;GENEL DOKU;SNA;Image_34905.jpg;0,3;2,09;1,42;0,89;0,39;0,14;0,4407
ALSANCAK;GENEL DOKU;SNA;Image_34901.jpg;0,22;21,52;20,21;19,0;1,11;0,1;0,2757
ALSANCAK;GENEL DOKU;SNA;Image_34901.jpg;0,28;7,76;6,44;5,23;1,11;0,1;0,3389
ALSANCAK;GENEL DOKU;SNA;Image_34901.jpg;0,3;5,4;4,09;2,87;1,11;0,1;0,3675
ALSANCAK;GENEL DOKU;SNA;Image_34900.jpg;0,22;13,4;12,64;12,06;0,41;0,17;0,2692
ALSANCAK;GENEL DOKU;SNA;Image_34900.jpg;0,28;3,43;2,68;2,1;0,41;0,17;0,3696
ALSANCAK;GENEL DOKU;SNA;Image_34900.jpg;0,3;2,41;1,65;1,07;0,41;0,17;0,4194
ALSANCAK;GENEL DOKU;SNA;Image_34902.jpg;0,22;23,85;23,27;22,8;0,35;0,12;0,2604
ALSANCAK;GENEL DOKU;SNA;Image_34902.jpg;0,28;4,63;4,04;3,58;0,35;0,12;0,3409
ALSANCAK;GENEL DOKU;SNA;Image_34902.jpg;0,3;2,67;2,08;1,62;0,35;0,12;0,3899
ALSANCAK;GENEL DOKU;SNA;Image_34903.jpg;0,22;34,75;30,51;27,19;2,41;0,91;0,2878
ALSANCAK;GENEL DOKU;SNA;Image_34903.jpg;0,28;15,8;11,56;8,24;2,41;0,91;0,3556
ALSANCAK;GENEL DOKU;SNA;Image_34903.jpg;0,3;12,29;8,05;4,73;2,41;0,91;0,3844
ALSANCAK;GENEL DOKU;SNA;Image_34892.jpg;0,22;20,52;19,51;18,71;0,58;0,21;0,262
ALSANCAK;GENEL DOKU;SNA;Image_34892.jpg;0,28;4,15;3,14;2,35;0,58;0,21;0,3728
ALSANCAK;GENEL DOKU;SNA;Image_34892.jpg;0,3;2,97;1,96;1,17;0,58;0,21;0,4234
ALSANCAK;GENEL DOKU;SNA;Image_34893.jpg;0,22;38,92;36,32;34,13;1,78;0,41;0,2714
ALSANCAK;GENEL DOKU;SNA;Image_34893.jpg;0,28;12,42;9,81;7,62;1,78;0,41;0,3452
ALSANCAK;GENEL DOKU;SNA;Image_34893.jpg;0,3;8,88;6,27;4,08;1,78;0,41;0,3768
ALSANCAK;GENEL DOKU;SNA;Image_34897.jpg;0,22;5,13;4,78;4,56;0,11;0,12;0,2869
ALSANCAK;GENEL DOKU;SNA;Image_34897.jpg;0,28;1,35;1,01;0,78;0,11;0,12;0,4536
ALSANCAK;GENEL DOKU;SNA;Image_34897.jpg;0,3;0,95;0,61;0,38;0,11;0,12;0,5617
ALSANCAK;GENEL DOKU;SNA;Image_34896.jpg;0,22;11,87;11,52;11,29;0,11;0,12;0,2587
ALSANCAK;GENEL DOKU;SNA;Image_34896.jpg;0,28;1,62;1,27;1,04;0,11;0,12;0,4142
ALSANCAK;GENEL DOKU;SNA;Image_34896.jpg;0,3;1,02;0,67;0,44;0,11;0,12;0,525
ALSANCAK;GENEL DOKU;SNA;Image_34894.jpg;0,22;16,98;15,39;14,0;1,2;0,19;0,28
ALSANCAK;GENEL DOKU;SNA;Image_34894.jpg;0,28;6,25;4,66;3,26;1,2;0,19;0,3647
ALSANCAK;GENEL DOKU;SNA;Image_34894.jpg;0,3;4,87;3,28;1,88;1,2;0,19;0,3965
ALSANCAK;GENEL DOKU;SNA;Image_34895.jpg;0,22;15,57;15,04;14,64;0,28;0,12;0,2589
ALSANCAK;GENEL DOKU;SNA;Image_34895.jpg;0,28;2,4;1,88;1,48;0,28;0,12;0,391
ALSANCAK;GENEL DOKU;SNA;Image_34895.jpg;0,3;1,59;1,07;0,67;0,28;0,12;0,4681
ALSANCAK;GENEL DOKU;MAL;Image_34867.jpg;0,22;3,58;3,27;3,07;0,07;0,12;0,2947
ALSANCAK;GENEL DOKU;MAL;Image_34867.jpg;0,28;0,84;0,52;0,33;0,07;0,12;0,5848
ALSANCAK;GENEL DOKU;MAL;Image_34867.jpg;0,3;0,66;0,35;0,15;0,07;0,12;0,7322
ALSANCAK;GENEL DOKU;MAL;Image_34873.jpg;0,22;27,84;26,45;25,22;1,08;0,15;0,2709
ALSANCAK;GENEL DOKU;MAL;Image_34873.jpg;0,28;8,74;7,35;6,12;1,08;0,15;0,3375
ALSANCAK;GENEL DOKU;MAL;Image_34873.jpg;0,3;5,75;4,36;3,13;1,08;0,15;0,3706
ALSANCAK;GENEL DOKU;MAL;Image_34872.jpg;0,22;39,67;36,9;34,3;2,43;0,17;0,2751
ALSANCAK;GENEL DOKU;MAL;Image_34872.jpg;0,28;14,63;11,86;9,26;2,43;0,17;0,3366
ALSANCAK;GENEL DOKU;MAL;Image_34872.jpg;0,3;10,59;7,82;5,22;2,43;0,17;0,361
ALSANCAK;GENEL DOKU;MAL;Image_34866.jpg;0,22;1,3;0,98;0,78;0,07;0,13;0,4174
ALSANCAK;GENEL DOKU;MAL;Image_34866.jpg;0,28;0,67;0,35;0,15;0,07;0,13;0,7342
ALSANCAK;GENEL DOKU;MAL;Image_34866.jpg;0,3;0,61;0,28;0,08;0,07;0,13;0,8385
ALSANCAK;GENEL DOKU;MAL;Image_34870.jpg;0,22;23,58;22,98;22,52;0,33;0,14;0,2582
ALSANCAK;GENEL DOKU;MAL;Image_34870.jpg;0,28;4,02;3,42;2,96;0,33;0,14;0,351
ALSANCAK;GENEL DOKU;MAL;Image_34870.jpg;0,3;2,39;1,79;1,33;0,33;0,14;0,4079
ALSANCAK;GENEL DOKU;MAL;Image_34871.jpg;0,22;14,16;13,78;13,52;0,14;0,12;0,2586
ALSANCAK;GENEL DOKU;MAL;Image_34871.jpg;0,28;2,06;1,68;1,42;0,14;0,12;0,39
ALSANCAK;GENEL DOKU;MAL;Image_34871.jpg;0,3;1,26;0,88;0,62;0,14;0,12;0,4821
ALSANCAK;GENEL DOKU;MAL;Image_34875.jpg;0,22;44,29;43,82;43,46;0,26;0,1;0,2544
ALSANCAK;GENEL DOKU;MAL;Image_34875.jpg;0,28;6,01;5,55;5,19;0,26;0,1;0,3244
ALSANCAK;GENEL DOKU;MAL;Image_34875.jpg;0,3;2,73;2,27;1,91;0,26;0,1;0,3761
ALSANCAK;GENEL DOKU;MAL;Image_34874.jpg;0,22;27,51;27,14;26,9;0,12;0,12;0,2488
ALSANCAK;GENEL DOKU;MAL;Image_34874.jpg;0,28;2,37;2,0;1,75;0,12;0,12;0,3757
